month,high_exposure_rate,no_exposure_rate
2020-01,62.1,67.86
2020-02,62.28,69.52
2020-03,49.22,60.57
2020-04,51.4,61.57
2020-05,48.94,61.34
2020-06,48.94,60.33
2020-07,49.79,58.89
2020-08,47.43,60.24
2020-09,60.28,68.31
2020-10,60.41,66.59
2020-11,63.26,67.77
2020-12,61.58,66.58
2021-01,60.85,68.11
2021-02,60.12,68.38
2021-03,60.78,67.71
2021-04,60.78,69.85
2021-05,61.48,66.94
2021-06,62.49,66.78
2021-07,61.75,66.04
2021-08,59.91,68.2
2021-09,62.39,68.17
2021-10,61.36,67.7
2021-11,59.73,67.28
2021-12,60.95,69.06
2022-01,61.91,66.24
2022-02,61.89,67.61
2022-03,60.69,68.61
2022-04,62.74,68.93
2022-05,60.49,67.69
2022-06,61.9,68.98
2022-07,60.92,67.81
2022-08,60.17,66.8
2022-09,62.48,69.36
2022-10,61.41,69.0
2022-11,61.93,67.35
2022-12,61.23,69.64
2023-01,60.06,69.76
2023-02,56.26,69.12
2023-03,58.8,68.1
2023-04,58.11,66.51
2023-05,57.04,68.96
2023-06,58.37,68.18
2023-07,54.93,68.3
2023-08,56.3,69.23
2023-09,53.86,69.51
2023-10,53.92,70.07
2023-11,52.26,68.87
2023-12,51.93,67.84
2024-01,52.06,69.66
2024-02,51.01,69.27
2024-03,48.6,69.18
2024-04,49.19,68.9
2024-05,48.71,70.2
2024-06,50.46,70.07
2024-07,47.81,69.93
2024-08,45.2,69.97
2024-09,47.57,72.46
2024-10,47.27,70.3
2024-11,47.46,68.83
2024-12,48.87,70.75
2025-01,48.45,69.09
2025-02,49.18,68.6
2025-03,48.2,72.19
2025-04,46.31,69.43
2025-05,47.62,69.5
2025-06,45.64,70.07
2025-07,46.23,70.47
2025-08,46.4,71.55
2025-09,46.56,69.68
2025-10,48.48,68.77
2025-11,47.77,71.31
2025-12,45.57,70.18
